,px,Banana plantation,all
0,0.0,1.0,1.0
1,0.001001001001001001,1.0,1.0
2,0.002002002002002002,1.0,1.0
3,0.003003003003003003,1.0,1.0
4,0.004004004004004004,1.0,1.0
5,0.005005005005005005,1.0,1.0
6,0.006006006006006006,1.0,1.0
7,0.007007007007007007,1.0,1.0
8,0.008008008008008008,1.0,1.0
9,0.009009009009009009,1.0,1.0
10,0.01001001001001001,1.0,1.0
11,0.011011011011011011,1.0,1.0
12,0.012012012012012012,1.0,1.0
13,0.013013013013013013,1.0,1.0
14,0.014014014014014014,1.0,1.0
15,0.015015015015015015,1.0,1.0
16,0.016016016016016016,1.0,1.0
17,0.017017017017017015,1.0,1.0
18,0.018018018018018018,1.0,1.0
19,0.01901901901901902,1.0,1.0
20,0.02002002002002002,1.0,1.0
21,0.02102102102102102,1.0,1.0
22,0.022022022022022022,1.0,1.0
23,0.023023023023023025,1.0,1.0
24,0.024024024024024024,1.0,1.0
25,0.025025025025025023,1.0,1.0
26,0.026026026026026026,1.0,1.0
27,0.02702702702702703,1.0,1.0
28,0.028028028028028028,1.0,1.0
29,0.029029029029029027,1.0,1.0
30,0.03003003003003003,1.0,1.0
31,0.031031031031031032,1.0,1.0
32,0.03203203203203203,1.0,1.0
33,0.03303303303303303,1.0,1.0
34,0.03403403403403403,1.0,1.0
35,0.035035035035035036,1.0,1.0
36,0.036036036036036036,1.0,1.0
37,0.037037037037037035,1.0,1.0
38,0.03803803803803804,1.0,1.0
39,0.03903903903903904,1.0,1.0
40,0.04004004004004004,1.0,1.0
41,0.04104104104104104,1.0,1.0
42,0.04204204204204204,1.0,1.0
43,0.043043043043043044,1.0,1.0
44,0.044044044044044044,1.0,1.0
45,0.04504504504504504,1.0,1.0
46,0.04604604604604605,1.0,1.0
47,0.04704704704704705,1.0,1.0
48,0.04804804804804805,1.0,1.0
49,0.04904904904904905,1.0,1.0
50,0.050050050050050046,1.0,1.0
51,0.05105105105105105,1.0,1.0
52,0.05205205205205205,1.0,1.0
53,0.05305305305305305,1.0,1.0
54,0.05405405405405406,1.0,1.0
55,0.055055055055055056,1.0,1.0
56,0.056056056056056056,1.0,1.0
57,0.057057057057057055,1.0,1.0
58,0.058058058058058054,1.0,1.0
59,0.05905905905905906,1.0,1.0
60,0.06006006006006006,1.0,1.0
61,0.06106106106106106,1.0,1.0
62,0.062062062062062065,1.0,1.0
63,0.06306306306306306,1.0,1.0
64,0.06406406406406406,1.0,1.0
65,0.06506506506506507,1.0,1.0
66,0.06606606606606606,1.0,1.0
67,0.06706706706706707,1.0,1.0
68,0.06806806806806806,1.0,1.0
69,0.06906906906906907,1.0,1.0
70,0.07007007007007007,1.0,1.0
71,0.07107107107107107,0.9887218045112782,0.9887218045112782
72,0.07207207207207207,0.9887218045112782,0.9887218045112782
73,0.07307307307307308,0.9887218045112782,0.9887218045112782
74,0.07407407407407407,0.9887218045112782,0.9887218045112782
75,0.07507507507507508,0.9887218045112782,0.9887218045112782
76,0.07607607607607608,0.9887218045112782,0.9887218045112782
77,0.07707707707707707,0.9887218045112782,0.9887218045112782
78,0.07807807807807808,0.9887218045112782,0.9887218045112782
79,0.07907907907907907,0.9887218045112782,0.9887218045112782
80,0.08008008008008008,0.9887218045112782,0.9887218045112782
81,0.08108108108108109,0.9887218045112782,0.9887218045112782
82,0.08208208208208208,0.9887218045112782,0.9887218045112782
83,0.08308308308308308,0.9887218045112782,0.9887218045112782
84,0.08408408408408408,0.9887218045112782,0.9887218045112782
85,0.08508508508508508,0.9887218045112782,0.9887218045112782
86,0.08608608608608609,0.9887218045112782,0.9887218045112782
87,0.08708708708708708,0.9887218045112782,0.9887218045112782
88,0.08808808808808809,0.9887218045112782,0.9887218045112782
89,0.0890890890890891,0.9887218045112782,0.9887218045112782
90,0.09009009009009009,0.9887218045112782,0.9887218045112782
91,0.09109109109109109,0.9887218045112782,0.9887218045112782
92,0.0920920920920921,0.9887218045112782,0.9887218045112782
93,0.09309309309309309,0.9887218045112782,0.9887218045112782
94,0.0940940940940941,0.9887218045112782,0.9887218045112782
95,0.09509509509509509,0.9887218045112782,0.9887218045112782
96,0.0960960960960961,0.9887218045112782,0.9887218045112782
97,0.0970970970970971,0.9887218045112782,0.9887218045112782
98,0.0980980980980981,0.9887218045112782,0.9887218045112782
99,0.0990990990990991,0.9887218045112782,0.9887218045112782
100,0.10010010010010009,0.9887218045112782,0.9887218045112782
101,0.1011011011011011,0.9887218045112782,0.9887218045112782
102,0.1021021021021021,0.9887218045112782,0.9887218045112782
103,0.1031031031031031,0.9887218045112782,0.9887218045112782
104,0.1041041041041041,0.9887218045112782,0.9887218045112782
105,0.10510510510510511,0.9887218045112782,0.9887218045112782
106,0.1061061061061061,0.9887218045112782,0.9887218045112782
107,0.10710710710710711,0.9887218045112782,0.9887218045112782
108,0.10810810810810811,0.9887218045112782,0.9887218045112782
109,0.1091091091091091,0.9887218045112782,0.9887218045112782
110,0.11011011011011011,0.9887218045112782,0.9887218045112782
111,0.1111111111111111,0.9887218045112782,0.9887218045112782
112,0.11211211211211211,0.9887218045112782,0.9887218045112782
113,0.11311311311311312,0.9887218045112782,0.9887218045112782
114,0.11411411411411411,0.9887218045112782,0.9887218045112782
115,0.11511511511511512,0.9887218045112782,0.9887218045112782
116,0.11611611611611611,0.9887218045112782,0.9887218045112782
117,0.11711711711711711,0.9887218045112782,0.9887218045112782
118,0.11811811811811812,0.9887218045112782,0.9887218045112782
119,0.11911911911911911,0.9887218045112782,0.9887218045112782
120,0.12012012012012012,0.9887218045112782,0.9887218045112782
121,0.12112112112112113,0.9887218045112782,0.9887218045112782
122,0.12212212212212212,0.9887218045112782,0.9887218045112782
123,0.12312312312312312,0.9887218045112782,0.9887218045112782
124,0.12412412412412413,0.9887218045112782,0.9887218045112782
125,0.12512512512512514,0.9887218045112782,0.9887218045112782
126,0.12612612612612611,0.9887218045112782,0.9887218045112782
127,0.12712712712712712,0.9887218045112782,0.9887218045112782
128,0.12812812812812813,0.9887218045112782,0.9887218045112782
129,0.12912912912912913,0.9887218045112782,0.9887218045112782
130,0.13013013013013014,0.9887218045112782,0.9887218045112782
131,0.13113113113113112,0.9887218045112782,0.9887218045112782
132,0.13213213213213212,0.9887218045112782,0.9887218045112782
133,0.13313313313313313,0.9887218045112782,0.9887218045112782
134,0.13413413413413414,0.9887218045112782,0.9887218045112782
135,0.13513513513513514,0.9887218045112782,0.9887218045112782
136,0.13613613613613612,0.9887218045112782,0.9887218045112782
137,0.13713713713713713,0.9887218045112782,0.9887218045112782
138,0.13813813813813813,0.9887218045112782,0.9887218045112782
139,0.13913913913913914,0.9887218045112782,0.9887218045112782
140,0.14014014014014015,0.9887218045112782,0.9887218045112782
141,0.14114114114114115,0.9887218045112782,0.9887218045112782
142,0.14214214214214213,0.9887218045112782,0.9887218045112782
143,0.14314314314314314,0.9887218045112782,0.9887218045112782
144,0.14414414414414414,0.9887218045112782,0.9887218045112782
145,0.14514514514514515,0.9887218045112782,0.9887218045112782
146,0.14614614614614616,0.9887218045112782,0.9887218045112782
147,0.14714714714714713,0.9887218045112782,0.9887218045112782
148,0.14814814814814814,0.9887218045112782,0.9887218045112782
149,0.14914914914914915,0.9887218045112782,0.9887218045112782
150,0.15015015015015015,0.9887218045112782,0.9887218045112782
151,0.15115115115115116,0.9887218045112782,0.9887218045112782
152,0.15215215215215216,0.9887218045112782,0.9887218045112782
153,0.15315315315315314,0.9887218045112782,0.9887218045112782
154,0.15415415415415415,0.9887218045112782,0.9887218045112782
155,0.15515515515515516,0.9887218045112782,0.9887218045112782
156,0.15615615615615616,0.9887218045112782,0.9887218045112782
157,0.15715715715715717,0.9887218045112782,0.9887218045112782
158,0.15815815815815815,0.9887218045112782,0.9887218045112782
159,0.15915915915915915,0.9887218045112782,0.9887218045112782
160,0.16016016016016016,0.9887218045112782,0.9887218045112782
161,0.16116116116116116,0.9887218045112782,0.9887218045112782
162,0.16216216216216217,0.9887218045112782,0.9887218045112782
163,0.16316316316316315,0.9887218045112782,0.9887218045112782
164,0.16416416416416416,0.9887218045112782,0.9887218045112782
165,0.16516516516516516,0.9887218045112782,0.9887218045112782
166,0.16616616616616617,0.9887218045112782,0.9887218045112782
167,0.16716716716716717,0.9887218045112782,0.9887218045112782
168,0.16816816816816815,0.9887218045112782,0.9887218045112782
169,0.16916916916916916,0.9887218045112782,0.9887218045112782
170,0.17017017017017017,0.9887218045112782,0.9887218045112782
171,0.17117117117117117,0.9887218045112782,0.9887218045112782
172,0.17217217217217218,0.9887218045112782,0.9887218045112782
173,0.17317317317317318,0.9887218045112782,0.9887218045112782
174,0.17417417417417416,0.9887218045112782,0.9887218045112782
175,0.17517517517517517,0.9887218045112782,0.9887218045112782
176,0.17617617617617617,0.9887218045112782,0.9887218045112782
177,0.17717717717717718,0.9887218045112782,0.9887218045112782
178,0.1781781781781782,0.9887218045112782,0.9887218045112782
179,0.17917917917917917,0.9887218045112782,0.9887218045112782
180,0.18018018018018017,0.9887218045112782,0.9887218045112782
181,0.18118118118118118,0.9887218045112782,0.9887218045112782
182,0.18218218218218218,0.9887218045112782,0.9887218045112782
183,0.1831831831831832,0.9887218045112782,0.9887218045112782
184,0.1841841841841842,0.9887218045112782,0.9887218045112782
185,0.18518518518518517,0.9887218045112782,0.9887218045112782
186,0.18618618618618618,0.9887218045112782,0.9887218045112782
187,0.1871871871871872,0.9887218045112782,0.9887218045112782
188,0.1881881881881882,0.9887218045112782,0.9887218045112782
189,0.1891891891891892,0.9887218045112782,0.9887218045112782
190,0.19019019019019018,0.9887218045112782,0.9887218045112782
